player_id,username,display_name,country,level,created_at
1,player00001,Player 1,CA,17,2025-08-27T02:46:07Z
2,player00002,Player 2,MX,27,2025-08-12T22:10:51Z
3,plyr00001,Player_1.,BR,93,2025-06-08T08:27:59Z
4,player00004,Player 4,US,75,03/01/2026 04:18:20 PM
5,player00005,Player 5,IN,31,1756143440
6,player00006,Player 6,,79,2026-05-02 21:22:37
7,player00007,Player 7,MX,51,2026-04-23T15:23:54Z
8,player00008,Player 8,BR,6,2025/11/27 08:18
9,player00009,Player 9,BR,36,2026-03-17 16:32:10
10,player00010,Player 10,GB,20,2025-07-25T10:33:16Z
11,player00011,Player 11,CA,51,2025/11/09 12:27
12,player00012,Player 12,IN,30,2025-07-17T05:41:35Z
13,player00013,Player 13,KR,65,2026/02/07 10:53
14,player00014,Player 14,KR,78,2025-12-18T08:52:55Z
15,player00015,Player 15,DE,15,2026-04-21 23:19:52
16,player00016,Player 16,GB,12,2026/01/09 13:07
17,player00017,Player 17,US,73,2026/04/24 23:58
18,PLAYER00002,player_2,BR,68,12/05/2025 05:12:36 PM
19,player00019,Player 19,JP,54,2025/09/19 14:31
20,player00020,,MX,38,1750499445
21,player00021,Player 21,US,23,02/12/2026 03:13:12 PM
22,player00022,Player 22,IN,58,2025-05-28 12:14:16
23,player00023,Player 23,JP,18,2026-03-27T08:55:37Z
24,player00024,Player 24,JP,8,05/26/2025 05:53:20 AM
25,player00025,Player 25,CA,8,2026-01-08T07:45:34Z
26,player00026,Player 26,CA,85,1759689207
27,player00027,Player 27,US,94,05/19/2025 06:41:12 AM
28,player00028,Player 28,KR,13,1767348785
29,player00029,Player 29,CA,69,12/31/2025 04:35:04 AM
30,player00030,Player 30,US,12,1756321744
31,player00031,Player 31,DE,30,1772806616
32,player00032,Player 32,DE,7,2025-09-04T17:42:00Z
33,player00033,Player 33,JP,30,2025-11-25 02:29:28
34,player00034,Player 34,MX,67,1777856864
35,player00035,,BR,52,07/25/2025 04:17:31 PM
36,player00036,Player 36,AU,36,1766414924
37,player00037,Player 37,,100,08/10/2025 04:26:03 PM
38,player00038,Player 38,GB,20,2025-09-24 13:19:06
39,player00039,Player 39,JP,52,2025/07/13 13:26
40,player00040,Player 40,MX,73,2025/05/10 03:00
41,player00041,Player 41,BR,37,2025/06/29 07:38
42,player00042,Player 42,CA,41,01/05/2026 07:25:40 AM
43,player00043,Player 43,KR,86,05/02/2026 03:17:55 PM
44,player00044,Player 44,US,92,1774168472
45,player00045,Player 45,CA,23,2026/03/03 14:24
46,player00046,Player 46,GB,14,2025/08/28 13:05
47,player00047,Player 47,BR,81,2026/03/06 15:00
48,player00048,Player 48,DE,74,2025-07-30 16:56:36
49,player00049,Player 49,KR,37,2025-11-01T12:25:02Z
50,player00050,Player 50,GB,97,2026/04/15 10:12
51,player00051,Player 51,DE,20,2025-07-06T01:00:48Z
52,player00052,Player 52,US,36,1767556701
53,player00053,,US,58,2026-04-17T06:37:10Z
54,player00054,Player 54,US,38,2025-12-12 11:27:06
