16,17,18,19,20,16,17,18,16,17,18,19,20,21,16,17,18,19,20,21,26,16,17,18,19,20,21,17,18,19,24,25,26,27,28,16,17,18,19,20,16,17,18,16,16,17,18,16,17,18,19,16,16,17,18,16,17,16,17,18
24,25,26,27,28,24,25,26,24,25,26,27,28,29,24,25,26,27,28,29,34,24,25,26,27,28,29,25,26,27,32,33,34,35,36,24,25,26,27,28,24,25,26,24,24,25,26,24,25,26,27,24,24,25,26,24,25,24,25,26
32,33,34,35,36,32,33,34,32,33,34,35,36,37,32,33,34,35,36,37,42,32,33,34,35,36,37,33,34,35,40,41,42,43,44,16,17,18,19,20,32,33,34,32,32,33,34,32,33,16,17,18,19,33,16,17,18,19,33,34
16,17,18,19,20,40,41,42,40,16,17,18,19,20,21,41,42,43,44,45,17,40,41,42,43,44,45,21,42,43,32,33,34,35,36,24,25,26,27,28,40,16,17,40,40,41,16,17,18,19,25,26,27,41,16,17,18,19,17,18
24,25,26,27,28,29,24,25,26,24,25,26,27,28,29,33,34,35,36,37,25,26,24,25,26,27,28,29,16,17,40,16,17,18,16,17,18,19,20,21,16,17,18,16,17,18,24,25,26,27,16,17,18,19,24,25,26,27,17,18
32,33,16,17,18,19,20,21,34,32,33,34,35,36,37,17,18,19,20,21,33,34,32,33,34,35,36,37,24,25,26,24,25,26,16,17,18,19,20,21,24,25,26,24,25,26,32,33,34,35,24,25,26,27,32,33,34,35,17,18
16,17,24,25,26,27,28,29,42,40,41,42,43,44,45,25,26,27,28,29,41,42,40,41,42,43,44,45,32,33,34,32,33,34,16,17,18,16,17,16,32,33,34,32,33,34,40,16,17,18,32,33,34,35,40,41,42,43,17,18
24,25,32,33,34,16,17,18,19,20,21,34,35,36,37,33,34,35,36,37,27,28,29,24,25,26,27,16,17,18,19,40,41,42,24,25,26,24,25,24,16,17,18,16,17,18,19,24,25,26,40,41,42,43,16,17,18,19,17,18
32,33,40,41,42,24,25,26,16,17,18,19,20,21,45,41,42,43,44,45,35,36,37,32,33,34,35,24,25,26,27,28,29,27,32,33,34,32,33,32,24,25,26,24,25,26,27,32,33,34,35,25,26,27,24,25,26,27,25,26
40,41,42,43,44,16,17,18,24,25,26,27,28,29,32,33,34,35,36,37,43,44,45,40,41,42,43,32,33,34,35,36,37,35,16,17,18,40,41,40,16,17,18,32,33,34,35,40,41,42,43,33,34,35,32,33,34,35,18,19
24,25,26,27,28,24,25,26,32,33,34,35,36,37,40,41,42,43,44,45,27,28,16,17,18,16,17,18,19,20,21,44,45,43,24,25,26,27,28,29,16,17,18,40,41,42,43,42,43,19,16,17,18,19,40,41,42,43,26,27
32,33,34,35,36,32,33,34,40,41,42,43,44,45,16,17,18,19,20,21,35,36,24,25,26,24,16,17,18,19,20,21,17,18,32,33,34,35,36,37,24,25,26,16,17,18,19,25,26,27,24,25,26,27,32,33,34,35,34,35
16,17,18,19,20,40,41,42,43,44,16,17,18,19,20,21,26,27,28,29,17,18,32,33,34,32,24,25,26,27,28,29,25,26,40,41,42,43,44,45,16,17,18,24,25,26,27,33,34,35,32,33,34,35,40,41,42,43,18,19
24,25,26,27,28,29,25,26,27,28,24,25,26,27,28,29,34,35,36,37,25,26,40,41,42,40,32,33,34,35,36,37,17,18,16,17,18,19,20,21,16,17,18,32,33,34,35,41,42,43,40,41,42,43,24,25,24,25,26,27
32,33,34,35,36,37,33,34,35,36,32,33,34,35,36,37,18,19,20,21,33,34,35,36,37,25,40,41,42,43,44,45,25,26,24,25,26,27,28,29,16,17,18,16,17,18,16,17,18,19,16,17,18,19,16,17,32,33,34,35
40,41,42,43,44,45,41,42,43,44,40,41,42,43,44,45,18,19,20,21,41,42,43,44,45,33,34,35,36,37,18,32,33,34,32,33,34,35,36,37,24,25,26,24,25,26,24,25,26,27,24,25,26,27,24,25,40,41,42,43
32,33,34,35,36,37,16,17,18,19,20,21,18,19,20,21,18,19,20,21,18,19,20,21,40,41,42,43,44,45,26,40,41,42,40,41,42,43,44,45,16,17,18,32,33,34,32,33,34,35,32,33,34,35,32,33,32,33,34,35
40,41,42,43,44,45,24,25,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,32,33,34,35,36,37,34,35,36,37,34,35,36,37,16,17,16,17,18,40,41,42,40,41,42,43,40,41,42,43,40,41,40,41,42,43
32,33,34,35,16,17,18,19,20,21,36,37,34,35,36,37,34,35,36,37,16,17,18,19,40,41,42,43,44,45,42,43,44,45,42,43,44,45,24,25,24,25,26,16,17,18,32,33,34,35,16,17,18,19,16,17,18,19,18,19
40,41,42,43,24,25,26,27,28,29,17,18,19,20,21,45,18,19,20,21,24,25,26,27,28,29,16,17,18,16,17,18,19,20,16,17,18,19,32,33,32,33,34,24,25,26,40,41,42,43,24,25,26,27,24,25,26,27,26,27
40,41,42,43,32,33,34,35,36,37,25,26,27,28,29,17,18,19,20,21,32,33,34,35,36,37,24,25,26,24,25,26,27,28,24,25,26,27,40,41,16,17,18,32,33,34,35,17,18,19,32,33,34,35,32,33,34,35,34,35
24,25,26,27,40,41,42,43,44,45,33,34,35,36,37,25,26,27,28,29,40,41,42,43,44,45,32,33,34,32,33,34,35,36,32,33,34,35,16,17,24,25,26,40,41,42,43,16,17,18,19,41,42,43,16,17,18,19,42,43
32,33,34,35,36,37,24,40,41,40,41,42,43,44,45,17,18,19,20,21,16,17,16,17,18,19,40,41,42,40,41,42,43,44,40,41,42,16,24,25,16,17,18,32,33,34,32,24,25,26,27,17,18,19,24,25,26,27,18,19
40,41,42,43,16,17,18,19,20,21,17,18,19,20,21,25,26,27,28,29,24,25,24,25,26,27,24,25,26,27,28,29,24,25,26,27,28,24,32,33,16,17,18,40,16,17,18,19,33,34,35,25,26,27,32,33,34,35,26,27
24,25,26,27,24,25,26,27,28,29,25,26,27,28,29,17,18,19,20,21,18,19,20,21,17,18,19,20,21,35,16,17,18,19,20,21,36,32,40,41,24,25,26,27,24,25,26,27,41,42,43,33,16,17,18,19,42,43,18,19
32,33,34,35,32,33,34,35,36,37,17,18,19,20,21,25,26,27,28,29,26,27,28,29,25,26,27,28,29,43,24,25,26,27,28,29,16,40,41,42,32,33,34,35,32,33,34,35,16,17,18,19,24,25,26,27,24,25,26,27
40,41,42,43,40,41,42,43,44,45,25,26,27,28,29,17,18,19,20,21,34,35,36,37,33,34,35,36,37,17,18,19,20,21,36,37,24,25,26,32,40,41,42,43,40,41,42,43,24,25,26,27,32,33,34,35,16,17,18,19
32,33,34,35,16,17,18,19,20,21,33,34,35,36,37,17,18,19,20,21,42,43,44,45,41,42,43,44,45,19,20,21,17,16,17,18,19,20,21,40,16,17,18,19,16,17,18,19,32,33,34,35,18,19,42,43,24,25,26,27
40,41,42,43,24,25,26,27,16,17,18,19,20,21,45,25,26,27,28,29,24,25,24,25,26,27,28,29,26,27,28,29,25,24,25,26,27,28,29,43,24,25,26,27,24,25,26,27,40,41,42,43,26,27,25,24,32,33,34,35
24,25,26,27,32,33,34,35,24,25,26,27,28,29,16,17,18,19,20,21,32,33,32,33,34,35,36,37,34,35,36,37,33,32,33,34,35,36,37,32,16,17,18,19,32,33,34,35,40,41,42,43,34,35,18,16,40,41,42,43
32,33,34,35,40,41,42,43,32,33,34,35,36,37,24,25,26,27,28,29,20,21,40,41,42,43,44,45,42,43,44,45,41,40,41,42,43,44,45,40,24,25,26,27,40,41,42,43,17,18,40,41,42,43,26,24,24,25,26,27
40,41,16,17,18,19,20,21,40,41,42,43,44,45,32,33,34,35,36,37,28,29,17,18,19,20,16,17,18,19,20,16,17,18,19,20,21,17,18,19,32,33,34,35,24,25,26,16,17,18,19,16,17,18,19,32,32,33,34,35
24,25,24,25,26,27,28,29,32,33,34,35,36,37,40,41,42,43,44,45,36,37,25,26,27,28,24,25,26,27,28,24,25,26,27,28,29,25,26,27,40,41,42,43,32,33,34,24,25,26,27,24,25,16,17,40,40,41,42,43
32,33,32,33,34,16,17,16,17,18,19,20,21,45,16,17,18,19,20,21,44,45,33,34,35,36,32,33,34,35,36,32,33,34,35,36,37,33,34,35,24,25,26,27,40,41,42,16,17,18,19,32,33,24,16,17,18,19,25,26
40,41,40,41,42,24,25,16,16,17,16,17,18,19,20,21,26,27,28,29,17,18,19,20,21,44,40,41,42,43,44,40,41,42,43,44,45,41,42,43,32,33,34,35,16,17,18,24,25,26,27,40,41,32,24,25,26,27,33,34
17,18,19,16,17,32,33,24,24,25,24,25,26,27,28,29,34,35,36,37,25,26,27,28,16,17,18,19,20,21,27,28,29,16,17,18,19,16,17,18,40,41,16,17,18,19,26,32,33,34,35,16,17,40,32,33,34,35,41,42
25,26,27,24,25,40,41,32,32,33,16,17,18,19,20,21,42,43,44,45,21,19,20,21,24,25,26,27,28,29,35,36,37,24,25,26,27,24,25,26,16,17,16,17,16,17,18,40,41,42,43,24,25,26,40,41,16,17,18,19
16,17,18,32,33,34,35,40,40,41,24,25,26,27,28,29,18,19,20,21,29,27,28,29,32,33,34,35,36,37,19,20,21,17,18,19,20,21,21,16,16,17,24,25,24,25,26,24,25,26,27,16,17,18,16,16,24,25,26,27
24,25,26,40,41,42,43,44,45,35,32,33,34,35,36,37,26,27,28,29,37,35,36,37,40,41,42,43,44,45,27,28,29,25,26,27,28,29,29,24,24,25,32,33,32,33,34,32,33,34,35,24,25,26,24,24,32,33,34,35
32,33,34,35,36,37,40,41,42,43,40,41,42,43,44,45,34,35,36,37,45,43,44,45,43,44,45,32,33,34,35,36,37,33,34,35,36,37,37,32,32,33,40,41,40,41,42,40,41,42,43,32,33,34,32,32,40,41,42,43
